profile,record_type,field,record_section,path_to_field,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values,record_type_machine_name,field_machine_name
bonsai_6-0-0,Object,Content language,Object Description Information,Content,string,n,y,n,vocabulary,languages,"",collectionobject,contentLanguage
bonsai_6-0-0,Object,Content activity,Object Description Information,Content,string,n,y,n,"","","",collectionobject,contentActivity
bonsai_6-0-0,Object,Content concept,Object Description Information,Content,string,n,y,n,authority,concept/associated; concept/material,"",collectionobject,contentConcept
bonsai_6-0-0,Object,Content position,Object Description Information,Content,string,n,y,n,option list,positions,"back, base, bottom, front, inside, left, outside, recto, right, rim, top, verso",collectionobject,contentPosition
bonsai_6-0-0,Object,Content object name,Object Description Information,Content,string,n,n,y,"","","",collectionobject,contentObject
bonsai_6-0-0,Object,Content object type,Object Description Information,Content,string,n,n,y,option list,contentObjectTypes,"food, furniture",collectionobject,contentObjectType
bonsai_6-0-0,Object,Content people,Object Description Information,Content,string,n,y,n,"","","",collectionobject,contentPeople
bonsai_6-0-0,Object,Content person,Object Description Information,Content,string,n,y,n,authority,person/local; person/ulan,"",collectionobject,contentPerson
bonsai_6-0-0,Object,Content place,Object Description Information,Content,string,n,y,n,authority,place/local; place/tgn,"",collectionobject,contentPlace
bonsai_6-0-0,Object,Content script,Object Description Information,Content,string,n,y,n,option list,scripts,"carolingian-miniscule, gothic-script, palmer-method, roman-cursive, rustic-capitals, spencerian-method, square-capitals",collectionobject,contentScript
bonsai_6-0-0,Object,Content organization,Object Description Information,Content,string,n,y,n,authority,organization/local; organization/ulan,"",collectionobject,contentOrganization
bonsai_6-0-0,Object,Content event name,Object Description Information,Content,string,n,n,y,"","","",collectionobject,contentEventName
bonsai_6-0-0,Object,Content event type,Object Description Information,Content,string,n,n,y,"","","",collectionobject,contentEventNameType
bonsai_6-0-0,Object,Content other name,Object Description Information,Content,string,n,n,y,"","","",collectionobject,contentOther
bonsai_6-0-0,Object,Content other type,Object Description Information,Content,string,n,n,y,"","","",collectionobject,contentOtherType
bonsai_6-0-0,Object,Content note,Object Description Information,Content,string,n,n,n/a,"","","",collectionobject,contentNote
bonsai_6-0-0,Object,Textual inscription content,Object Description Information,Textual Inscription,string,n,n,y,"","","",collectionobject,inscriptionContent
bonsai_6-0-0,Object,Textual inscription inscriber,Object Description Information,Textual Inscription,string,n,n,y,authority,person/local; organization/local,"",collectionobject,inscriptionContentInscriber
bonsai_6-0-0,Object,Textual inscription language,Object Description Information,Textual Inscription,string,n,n,y,vocabulary,languages,"",collectionobject,inscriptionContentLanguage
bonsai_6-0-0,Object,Textual inscription date,Object Description Information,Textual Inscription,structured date group,n,n,y,"","","",collectionobject,inscriptionContentDateGroup
bonsai_6-0-0,Object,Textual inscription position,Object Description Information,Textual Inscription,string,n,n,y,option list,positions,"back, base, bottom, front, inside, left, outside, recto, right, rim, top, verso",collectionobject,inscriptionContentPosition
bonsai_6-0-0,Object,Textual inscription script,Object Description Information,Textual Inscription,string,n,n,y,option list,scripts,"carolingian-miniscule, gothic-script, palmer-method, roman-cursive, rustic-capitals, spencerian-method, square-capitals",collectionobject,inscriptionContentScript
bonsai_6-0-0,Object,Textual inscription type,Object Description Information,Textual Inscription,string,n,n,y,option list,inscriptionTypes,"brand, credits, decoration, estate-stamp, graffiti, label, maker's-mark, plaque, signage",collectionobject,inscriptionContentType
bonsai_6-0-0,Object,Textual inscription method,Object Description Information,Textual Inscription,string,n,n,y,"","","",collectionobject,inscriptionContentMethod
bonsai_6-0-0,Object,Textual inscription interpretation,Object Description Information,Textual Inscription,string,n,n,y,"","","",collectionobject,inscriptionContentInterpretation
bonsai_6-0-0,Object,Textual inscription translation,Object Description Information,Textual Inscription,string,n,n,y,"","","",collectionobject,inscriptionContentTranslation
bonsai_6-0-0,Object,Textual inscription transliteration,Object Description Information,Textual Inscription,string,n,n,y,"","","",collectionobject,inscriptionContentTransliteration
bonsai_6-0-0,Object,Non-textual inscription description,Object Description Information,Non-Textual Inscription,string,n,n,y,"","","",collectionobject,inscriptionDescription
bonsai_6-0-0,Object,Non-textual inscription inscriber,Object Description Information,Non-Textual Inscription,string,n,n,y,authority,person/local; organization/local,"",collectionobject,inscriptionDescriptionInscriber
bonsai_6-0-0,Object,Non-textual inscription date,Object Description Information,Non-Textual Inscription,structured date group,n,n,y,"","","",collectionobject,inscriptionDescriptionDateGroup
bonsai_6-0-0,Object,Non-textual inscription position,Object Description Information,Non-Textual Inscription,string,n,n,y,option list,positions,"back, base, bottom, front, inside, left, outside, recto, right, rim, top, verso",collectionobject,inscriptionDescriptionPosition
bonsai_6-0-0,Object,Non-textual inscription type,Object Description Information,Non-Textual Inscription,string,n,n,y,option list,inscriptionTypes,"brand, credits, decoration, estate-stamp, graffiti, label, maker's-mark, plaque, signage",collectionobject,inscriptionDescriptionType
bonsai_6-0-0,Object,Non-textual inscription method,Object Description Information,Non-Textual Inscription,string,n,n,y,"","","",collectionobject,inscriptionDescriptionMethod
bonsai_6-0-0,Object,Non-textual inscription interpretation,Object Description Information,Non-Textual Inscription,string,n,n,y,"","","",collectionobject,inscriptionDescriptionInterpretation
bonsai_6-0-0,Object,Production date,Object Production Information,"",structured date group,n,y,n,"","","",collectionobject,objectProductionDateGroup
bonsai_6-0-0,Object,Production technique,Object Production Information,"",string,n,n,y,"","","",collectionobject,technique
bonsai_6-0-0,Object,Production technique type,Object Production Information,"",string,n,n,y,"","","",collectionobject,techniqueType
bonsai_6-0-0,Object,Production place,Object Production Information,"",string,n,n,y,authority,place/local; place/tgn,"",collectionobject,objectProductionPlace
