profile,id_caps,id_lower,label
core_9_0,collectionobject.objectCountCountedBy,collectionobject.objectcountcountedby,Object Identification Information > Object count counted by
core_9_0,collectionobject.objectCountDate,collectionobject.objectcountdate,Object Identification Information > Object count date
core_9_0,collectionobject.objectCountNote,collectionobject.objectcountnote,Object Identification Information > Object count note
core_9_0,collectionobject.copyNumber,collectionobject.copynumber,Object Description Information > Copy number
core_9_0,collectionobject.objectStatus,collectionobject.objectstatus,Object Description Information > Object status
core_9_0,collectionobject.sex,collectionobject.sex,Object Description Information > Sex
core_9_0,collectionobject.phase,collectionobject.phase,Object Description Information > Phase
core_9_0,collectionobject.form,collectionobject.form,Object Description Information > Form
core_9_0,collectionobject.editionNumber,collectionobject.editionnumber,Object Description Information > Edition number
core_9_0,collectionobject.ageQualifier,collectionobject.agequalifier,Object Description Information > Age > Age qualifier
core_9_0,collectionobject.age,collectionobject.age,Object Description Information > Age > Age value
core_9_0,collectionobject.ageUnit,collectionobject.ageunit,Object Description Information > Age > Age unit
core_9_0,collectionobject.style,collectionobject.style,Object Description Information > Style
core_9_0,collectionobject.color,collectionobject.color,Object Description Information > Color
core_9_0,collectionobject.apparelSize,collectionobject.apparelsize,Object Description Information > Apparel size
core_9_0,collectionobject.materialControlled,collectionobject.materialcontrolled,Object Description Information > Material controlled
core_9_0,collectionobject.material,collectionobject.material,Object Description Information > Material
core_9_0,collectionobject.materialComponent,collectionobject.materialcomponent,Object Description Information > Material component
core_9_0,collectionobject.materialComponentNote,collectionobject.materialcomponentnote,Object Description Information > Material component note
core_9_0,collectionobject.materialName,collectionobject.materialname,Object Description Information > Material name
core_9_0,collectionobject.materialSource,collectionobject.materialsource,Object Description Information > Material source
core_9_0,collectionobject.physicalDescription,collectionobject.physicaldescription,Object Description Information > Physical description
core_9_0,collectionobject.objectComponentName,collectionobject.objectcomponentname,Object Description Information > Object component name
core_9_0,collectionobject.objectComponentInformation,collectionobject.objectcomponentinformation,Object Description Information > Object component information
core_9_0,collectionobject.technicalAttribute,collectionobject.technicalattribute,Object Description Information > Technical attribute
core_9_0,collectionobject.technicalAttributeMeasurement,collectionobject.technicalattributemeasurement,Object Description Information > Technical attribute measurement
core_9_0,collectionobject.technicalAttributeMeasurementUnit,collectionobject.technicalattributemeasurementunit,Object Description Information > Technical attribute measurement unit
core_9_0,collectionobject.measuredPart,collectionobject.measuredpart,Object Description Information > Measured part
core_9_0,collectionobject.dimensionSummary,collectionobject.dimensionsummary,Object Description Information > Dimension summary
core_9_0,collectionobject.dimension,collectionobject.dimension,Object Description Information > Measurement dimension
core_9_0,collectionobject.measuredBy,collectionobject.measuredby,Object Description Information > Measured by
core_9_0,collectionobject.measurementMethod,collectionobject.measurementmethod,Object Description Information > Measurement method
core_9_0,collectionobject.value,collectionobject.value,Object Description Information > Measurement value
core_9_0,collectionobject.measurementUnit,collectionobject.measurementunit,Object Description Information > Measurement unit
core_9_0,collectionobject.valueQualifier,collectionobject.valuequalifier,Object Description Information > Measurement qualifier
core_9_0,collectionobject.valueDate,collectionobject.valuedate,Object Description Information > Measurement date
core_9_0,collectionobject.measuredPartNote,collectionobject.measuredpartnote,Object Description Information > Dimension note
core_9_0,collectionobject.contentDescription,collectionobject.contentdescription,Object Description Information > Content > Content description
core_9_0,collectionobject.contentLanguage,collectionobject.contentlanguage,Object Description Information > Content > Content language
core_9_0,collectionobject.contentActivity,collectionobject.contentactivity,Object Description Information > Content > Content activity
core_9_0,collectionobject.contentConcept,collectionobject.contentconcept,Object Description Information > Content > Content concept
core_9_0,collectionobject.contentDateGroup,collectionobject.contentdategroup,Object Description Information > Content > Content date
core_9_0,collectionobject.contentPosition,collectionobject.contentposition,Object Description Information > Content > Content position
core_9_0,collectionobject.contentObject,collectionobject.contentobject,Object Description Information > Content > Content object name
core_9_0,collectionobject.contentObjectType,collectionobject.contentobjecttype,Object Description Information > Content > Content object type
core_9_0,collectionobject.contentPeople,collectionobject.contentpeople,Object Description Information > Content > Content people
core_9_0,collectionobject.contentPerson,collectionobject.contentperson,Object Description Information > Content > Content person
core_9_0,collectionobject.controlledContentPlace,collectionobject.controlledcontentplace,Object Description Information > Content > Content place (controlled)
core_9_0,collectionobject.contentPlace,collectionobject.contentplace,Object Description Information > Content > Content place
core_9_0,collectionobject.contentScript,collectionobject.contentscript,Object Description Information > Content > Content script
core_9_0,collectionobject.contentOrganization,collectionobject.contentorganization,Object Description Information > Content > Content organization
core_9_0,collectionobject.contentEventName,collectionobject.contenteventname,Object Description Information > Content > Content event name
core_9_0,collectionobject.contentEventNameType,collectionobject.contenteventnametype,Object Description Information > Content > Content event type
core_9_0,collectionobject.contentEvent,collectionobject.contentevent,Object Description Information > Content > Content controlled event or period/era
core_9_0,collectionobject.contentOther,collectionobject.contentother,Object Description Information > Content > Content other name
core_9_0,collectionobject.contentOtherType,collectionobject.contentothertype,Object Description Information > Content > Content other type
core_9_0,collectionobject.contentNote,collectionobject.contentnote,Object Description Information > Content > Content note
core_9_0,collectionobject.inscriptionContent,collectionobject.inscriptioncontent,Object Description Information > Textual Inscription > Textual inscription content
core_9_0,collectionobject.inscriptionContentInscriber,collectionobject.inscriptioncontentinscriber,Object Description Information > Textual Inscription > Textual inscription inscriber
core_9_0,collectionobject.inscriptionContentLanguage,collectionobject.inscriptioncontentlanguage,Object Description Information > Textual Inscription > Textual inscription language
core_9_0,collectionobject.inscriptionContentDateGroup,collectionobject.inscriptioncontentdategroup,Object Description Information > Textual Inscription > Textual inscription date
core_9_0,collectionobject.inscriptionContentPosition,collectionobject.inscriptioncontentposition,Object Description Information > Textual Inscription > Textual inscription position
core_9_0,collectionobject.inscriptionContentScript,collectionobject.inscriptioncontentscript,Object Description Information > Textual Inscription > Textual inscription script
core_9_0,collectionobject.inscriptionContentType,collectionobject.inscriptioncontenttype,Object Description Information > Textual Inscription > Textual inscription type
core_9_0,collectionobject.inscriptionContentMethod,collectionobject.inscriptioncontentmethod,Object Description Information > Textual Inscription > Textual inscription method
core_9_0,collectionobject.inscriptionContentInterpretation,collectionobject.inscriptioncontentinterpretation,Object Description Information > Textual Inscription > Textual inscription interpretation
core_9_0,collectionobject.inscriptionContentTranslation,collectionobject.inscriptioncontenttranslation,Object Description Information > Textual Inscription > Textual inscription translation
core_9_0,collectionobject.inscriptionContentTransliteration,collectionobject.inscriptioncontenttransliteration,Object Description Information > Textual Inscription > Textual inscription transliteration
