fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values
core_9_0 acquisition acquisitionDateGroup ext.structuredDate scalarValuesComputed,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.scalarValuesComputed,Acquisition Information,Acquisition date,Represented dates computed,acquisitionDateGroupList > acquisitionDateGroup,scalarValuesComputed,"",n,n,y,"","",""
core_9_0 citation ns2:citations_common termDisplayName,core_9_0,citation,ns2:citations_common,ns2:citations_common,citations_common.termDisplayName,Citation Information,"",Term display name,citationTermGroupList > citationTermGroup,termDisplayName,string,y,n,y,"","",""
core_9_0 citation ns2:citations_common termStatus,core_9_0,citation,ns2:citations_common,ns2:citations_common,citations_common.termStatus,Citation Information,"",Term status,citationTermGroupList > citationTermGroup,termStatus,string,n,n,y,option list,citationTermStatuses,"accepted, provisional, rejected, under review"
core_9_0 citation ns2:citations_common termType,core_9_0,citation,ns2:citations_common,ns2:citations_common,citations_common.termType,Citation Information,"",Term type,citationTermGroupList > citationTermGroup,termType,string,n,n,y,vocabulary,citationtermtype,""
core_9_0 citation ns2:citations_common termFlag,core_9_0,citation,ns2:citations_common,ns2:citations_common,citations_common.termFlag,Citation Information,"",Term flag,citationTermGroupList > citationTermGroup,termFlag,string,n,n,y,vocabulary,citationtermflag,""
core_9_0 citation ns2:citations_common termLanguage,core_9_0,citation,ns2:citations_common,ns2:citations_common,citations_common.termLanguage,Citation Information,"",Term language,citationTermGroupList > citationTermGroup,termLanguage,string,n,n,y,vocabulary,languages,""
core_9_0 citation ns2:citations_common termPrefForLang,core_9_0,citation,ns2:citations_common,ns2:citations_common,citations_common.termPrefForLang,Citation Information,"",Term preferred for lang,citationTermGroupList > citationTermGroup,termPrefForLang,boolean,n,n,y,"","",""
core_9_0 citation ns2:citations_common termFullCitation,core_9_0,citation,ns2:citations_common,ns2:citations_common,citations_common.termFullCitation,Citation Information,"",Term full citation,citationTermGroupList > citationTermGroup,termFullCitation,string,n,n,y,"","",""
core_9_0 citation ns2:citations_common termTitle,core_9_0,citation,ns2:citations_common,ns2:citations_common,citations_common.termTitle,Citation Information,"",Term title,citationTermGroupList > citationTermGroup,termTitle,string,n,n,y,"","",""
core_9_0 citation ns2:citations_common termSubTitle,core_9_0,citation,ns2:citations_common,ns2:citations_common,citations_common.termSubTitle,Citation Information,"",Term subtitle,citationTermGroupList > citationTermGroup,termSubTitle,string,n,n,y,"","",""
core_9_0 citation ns2:citations_common termSectionTitle,core_9_0,citation,ns2:citations_common,ns2:citations_common,citations_common.termSectionTitle,Citation Information,"",Term section title,citationTermGroupList > citationTermGroup,termSectionTitle,string,n,n,y,"","",""
