fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values,diff info
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension footprintWKT,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.footprintWKT,Locality Information,Georeference Detail,Footprint WKT,localityGroupList > localityGroup,footprintWKT,string,n,n,y,"","",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension footprintSRS,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.footprintSRS,Locality Information,Georeference Detail,Footprint SRS,localityGroupList > localityGroup,footprintSRS,string,n,n,y,"","",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension footprintSpatialFit,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.footprintSpatialFit,Locality Information,Georeference Detail,Footprint sp. fit,localityGroupList > localityGroup,footprintSpatialFit,string,n,n,y,"","",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension coordPrecision,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.coordPrecision,Locality Information,Georeference Detail,Coord precision,localityGroupList > localityGroup,coordPrecision,string,n,n,y,"","",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension geoRefencedBy,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.geoRefencedBy,Locality Information,Georeference Detail,Georeference by,localityGroupList > localityGroup,geoRefencedBy,string,n,n,y,"","",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension geoRefProtocol,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.geoRefProtocol,Locality Information,Georeference Detail,Georeference protocol,localityGroupList > localityGroup,geoRefProtocol,string,n,n,y,option list: georefProtocols,"biogeomancer, chapman-wieczorek-2006-guide-best-practices-georeferencing, georeferencing-dummies, manis-herpnet-ornis-georeferencing-guidelines",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension geoRefSource,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.geoRefSource,Locality Information,Georeference Detail,Georeference source,localityGroupList > localityGroup,geoRefSource,string,n,n,y,"","",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension geoRefVerificationStatus,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.geoRefVerificationStatus,Locality Information,Georeference Detail,Georeference verification,localityGroupList > localityGroup,geoRefVerificationStatus,string,n,n,y,option list: georefVerificationStatuses,"unverified, verified-contributor, verified-data-custodian",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension geoRefRemarks,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.geoRefRemarks,Locality Information,Georeference Detail,Georeference note,localityGroupList > localityGroup,geoRefRemarks,string,n,n,y,"","",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension geoRefPlaceName,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.geoRefPlaceName,Locality Information,Georeference Detail,Georeference place name,localityGroupList > localityGroup,geoRefPlaceName,string,n,n,y,"","",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_common fieldCollectionNumber,botgarden_3-0-2,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.fieldCollectionNumber,Field Collection Information,"",Field collection number,"",fieldCollectionNumber,string,n,n,n/a,"","",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_botgarden fieldCollectionNumberAssignor,botgarden_3-0-2,collectionobject,ns2:collectionobjects_botgarden,ns2:collectionobjects_botgarden,collectionobjects_botgarden.fieldCollectionNumberAssignor,Field Collection Information,"",Field collection number assignor,"",fieldCollectionNumberAssignor,string,n,n,n/a,authority: person/local,"",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension vegetationType,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ns2:collectionobjects_naturalhistory_extension,collectionobjects_naturalhistory_extension.vegetationType,Field Collection Information,"",Vegetation type,"",vegetationType,string,n,n,n/a,vocabulary: vegetationtype,"",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension associatedTaxon,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ns2:collectionobjects_naturalhistory_extension,collectionobjects_naturalhistory_extension.associatedTaxon,Field Collection Information,Associated taxa,Associated taxon name,associatedTaxaGroupList > associatedTaxaGroup,associatedTaxon,string,n,n,y,authority: taxon/local,"",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension commonName,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ns2:collectionobjects_naturalhistory_extension,collectionobjects_naturalhistory_extension.commonName,Field Collection Information,Associated taxa,Associated taxon common name,associatedTaxaGroupList > associatedTaxaGroup,commonName,string,n,n,y,"","",not in bonsai_5-0-2
