fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values
materials_3-0-6 chronology ns2:chronologies_common people,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.people,Associated Authorities,People,People associated,peopleGroupList > peopleGroup,people,string,n,n,y,"",""
materials_3-0-6 chronology ns2:chronologies_common peopleType,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.peopleType,Associated Authorities,People,People relationship/type,peopleGroupList > peopleGroup,peopleType,string,n,n,y,vocabulary: chronologypeoplerelations,""
materials_3-0-6 chronology ns2:chronologies_common peopleStructuredDateGroup,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.peopleStructuredDateGroup,Associated Authorities,People,People date,peopleGroupList > peopleGroup,peopleStructuredDateGroup,structured date group,n,n,y,"",""
materials_3-0-6 chronology ns2:chronologies_common peopleCitation,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.peopleCitation,Associated Authorities,People,People citation,peopleGroupList > peopleGroup > peopleCitations,peopleCitation,string,n,y,as part of larger repeating group,authority: citation/local,""
materials_3-0-6 chronology ns2:chronologies_common peopleNote,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.peopleNote,Associated Authorities,People,People note,peopleGroupList > peopleGroup,peopleNote,string,n,n,y,"",""
materials_3-0-6 chronology ns2:chronologies_common organization,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.organization,Associated Authorities,Organization,Organization associated,organizationGroupList > organizationGroup,organization,string,n,n,y,authority: organization/local,""
materials_3-0-6 chronology ns2:chronologies_common organizationType,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.organizationType,Associated Authorities,Organization,Organization relationship/type,organizationGroupList > organizationGroup,organizationType,string,n,n,y,vocabulary: chronologyorganizationrelations,""
materials_3-0-6 chronology ns2:chronologies_common organizationStructuredDateGroup,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.organizationStructuredDateGroup,Associated Authorities,Organization,Organization date,organizationGroupList > organizationGroup,organizationStructuredDateGroup,structured date group,n,n,y,"",""
materials_3-0-6 chronology ns2:chronologies_common organizationCitation,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.organizationCitation,Associated Authorities,Organization,Organization citation,organizationGroupList > organizationGroup > organizationCitations,organizationCitation,string,n,y,as part of larger repeating group,authority: citation/local,""
materials_3-0-6 chronology ns2:chronologies_common organizationNote,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.organizationNote,Associated Authorities,Organization,Organization note,organizationGroupList > organizationGroup,organizationNote,string,n,n,y,"",""
materials_3-0-6 chronology ns2:chronologies_common concept,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.concept,Associated Authorities,Concept,Concept associated,conceptGroupList > conceptGroup,concept,string,n,n,y,authority: concept/nomenclature; authority: concept/occasion,""
materials_3-0-6 chronology ns2:chronologies_common conceptType,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.conceptType,Associated Authorities,Concept,Concept relationship/type,conceptGroupList > conceptGroup,conceptType,string,n,n,y,vocabulary: chronologyconceptrelations,""
materials_3-0-6 chronology ns2:chronologies_common conceptStructuredDateGroup,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.conceptStructuredDateGroup,Associated Authorities,Concept,Concept date,conceptGroupList > conceptGroup,conceptStructuredDateGroup,structured date group,n,n,y,"",""
materials_3-0-6 chronology ns2:chronologies_common conceptCitation,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.conceptCitation,Associated Authorities,Concept,Concept citation,conceptGroupList > conceptGroup > conceptCitations,conceptCitation,string,n,y,as part of larger repeating group,authority: citation/local,""
materials_3-0-6 chronology ns2:chronologies_common conceptNote,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.conceptNote,Associated Authorities,Concept,Concept note,conceptGroupList > conceptGroup,conceptNote,string,n,n,y,"",""
materials_3-0-6 chronology ns2:chronologies_common place,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.place,Associated Authorities,Place,Place associated,placeGroupList > placeGroup,place,string,n,n,y,authority: place/local,""
materials_3-0-6 chronology ns2:chronologies_common placeType,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.placeType,Associated Authorities,Place,multiple msg matches: chronologies_common.placeType,placeGroupList > placeGroup,placeType,string,n,n,y,vocabulary: chronologyplacerelations,""
materials_3-0-6 chronology ns2:chronologies_common placeStructuredDateGroup,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.placeStructuredDateGroup,Associated Authorities,Place,Place date,placeGroupList > placeGroup,placeStructuredDateGroup,structured date group,n,n,y,"",""
materials_3-0-6 chronology ns2:chronologies_common placeCitation,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.placeCitation,Associated Authorities,Place,Place citation,placeGroupList > placeGroup > placeCitations,placeCitation,string,n,y,as part of larger repeating group,authority: citation/local,""
materials_3-0-6 chronology ns2:chronologies_common placeNote,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.placeNote,Associated Authorities,Place,multiple msg matches: chronologies_common.placeNote,placeGroupList > placeGroup,placeNote,string,n,n,y,"",""
materials_3-0-6 chronology ns2:chronologies_common relatedPeriod,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.relatedPeriod,Associated Authorities,Related period,Related period associated,relatedPeriodGroupList > relatedPeriodGroup,relatedPeriod,string,n,n,y,authority: chronology/era; authority: chronology/event; authority: chronology/fieldcollection,""
materials_3-0-6 chronology ns2:chronologies_common relatedPeriodType,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.relatedPeriodType,Associated Authorities,Related period,Related period relationship/type,relatedPeriodGroupList > relatedPeriodGroup,relatedPeriodType,string,n,n,y,vocabulary: chronologyrelations,""
materials_3-0-6 chronology ns2:chronologies_common relatedPeriodStructuredDateGroup,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.relatedPeriodStructuredDateGroup,Associated Authorities,Related period,Related period date,relatedPeriodGroupList > relatedPeriodGroup,relatedPeriodStructuredDateGroup,structured date group,n,n,y,"",""
materials_3-0-6 chronology ns2:chronologies_common relatedPeriodCitation,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.relatedPeriodCitation,Associated Authorities,Related period,Related period citation,relatedPeriodGroupList > relatedPeriodGroup > relatedPeriodCitations,relatedPeriodCitation,string,n,y,as part of larger repeating group,authority: citation/local,""
materials_3-0-6 chronology ns2:chronologies_common relatedPeriodNote,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.relatedPeriodNote,Associated Authorities,Related period,Related period note,relatedPeriodGroupList > relatedPeriodGroup,relatedPeriodNote,string,n,n,y,"",""
materials_3-0-6 chronology ns2:chronologies_common otherDateStructuredDateGroup,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.otherDateStructuredDateGroup,Alternative Date Information,Alternative date,Alternative date range,otherDateGroupList > otherDateGroup,otherDateStructuredDateGroup,structured date group,n,n,y,"",""
materials_3-0-6 chronology ns2:chronologies_common otherDatePlace,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.otherDatePlace,Alternative Date Information,Alternative date,Alternative date spacial coverage,otherDateGroupList > otherDateGroup > otherDatePlaces,otherDatePlace,string,n,y,as part of larger repeating group,authority: place/local,""
materials_3-0-6 chronology ns2:chronologies_common otherDateCitation,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.otherDateCitation,Alternative Date Information,Alternative date,Alternative date citation,otherDateGroupList > otherDateGroup > otherDateCitations,otherDateCitation,string,n,y,as part of larger repeating group,authority: citation/local,""
materials_3-0-6 chronology ns2:chronologies_common otherDateNote,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.otherDateNote,Alternative Date Information,Alternative date,Alternative date note,otherDateGroupList > otherDateGroup,otherDateNote,string,n,n,y,"",""
materials_3-0-6 collectionobject ns2:collectionobjects_common objectNumber,materials_3-0-6,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectNumber,Object Identification Information,"",Accession number,"",objectNumber,string,y,n,n/a,"",""
