fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values,diff info
herbarium_2-0-2 ns2:collectionobjects_naturalhistory_extension dateLatestCertainty,herbarium_2-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.structuredDate,ext.structuredDate.dateLatestCertainty,Object Identification Information,Determination history > Identification by > Taxonomic identification date,Latest certainty,determinationHistoryGroupList > determinationHistoryGroup > determinationDateGroup,dateLatestCertainty,string,n,n,as part of larger repeating group,vocabulary: datecertainty,"",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_naturalhistory_extension dateLatestQualifier,herbarium_2-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.structuredDate,ext.structuredDate.dateLatestQualifier,Object Identification Information,Determination history > Identification by > Taxonomic identification date,Latest qualifier,determinationHistoryGroupList > determinationHistoryGroup > determinationDateGroup,dateLatestQualifier,string,n,n,as part of larger repeating group,option list: dateQualifiers,", +, +/-, -",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_naturalhistory_extension dateLatestQualifierValue,herbarium_2-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.structuredDate,ext.structuredDate.dateLatestQualifierValue,Object Identification Information,Determination history > Identification by > Taxonomic identification date,Latest qualifier value,determinationHistoryGroupList > determinationHistoryGroup > determinationDateGroup,dateLatestQualifierValue,integer,n,n,as part of larger repeating group,"","",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_naturalhistory_extension dateLatestQualifierUnit,herbarium_2-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.structuredDate,ext.structuredDate.dateLatestQualifierUnit,Object Identification Information,Determination history > Identification by > Taxonomic identification date,Latest qualifier unit,determinationHistoryGroupList > determinationHistoryGroup > determinationDateGroup,dateLatestQualifierUnit,string,n,n,as part of larger repeating group,vocabulary: datequalifier,"",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_naturalhistory_extension dateEarliestScalarValue,herbarium_2-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.structuredDate,ext.structuredDate.dateEarliestScalarValue,Object Identification Information,Determination history > Identification by > Taxonomic identification date,Earliest represented date,determinationHistoryGroupList > determinationHistoryGroup > determinationDateGroup,dateEarliestScalarValue,string,n,n,as part of larger repeating group,"","",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_naturalhistory_extension dateLatestScalarValue,herbarium_2-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.structuredDate,ext.structuredDate.dateLatestScalarValue,Object Identification Information,Determination history > Identification by > Taxonomic identification date,Latest represented date,determinationHistoryGroupList > determinationHistoryGroup > determinationDateGroup,dateLatestScalarValue,string,n,n,as part of larger repeating group,"","",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_naturalhistory_extension scalarValuesComputed,herbarium_2-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.structuredDate,ext.structuredDate.scalarValuesComputed,Object Identification Information,Determination history > Identification by > Taxonomic identification date,Represented dates computed,determinationHistoryGroupList > determinationHistoryGroup > determinationDateGroup,scalarValuesComputed,boolean,n,n,as part of larger repeating group,"","",not in core_7-1-0
herbarium_2-0-2 ns2:loansin_herbarium majorGroup,herbarium_2-0-2,loanin,ns2:loansin_herbarium,ns2:loansin_herbarium,loansin_herbarium.majorGroup,Loan In Information,"",Major group,"",majorGroup,string,n,n,n/a,vocabulary: majortaxongroup,"",not in core_7-1-0
herbarium_2-0-2 ns2:loansin_herbarium geography,herbarium_2-0-2,loanin,ns2:loansin_herbarium,ns2:loansin_herbarium,loansin_herbarium.geography,Loan In Information,"",Geography,geographyList,geography,string,n,y,n,"","",not in core_7-1-0
herbarium_2-0-2 ns2:loansin_herbarium taxonomy,herbarium_2-0-2,loanin,ns2:loansin_herbarium,ns2:loansin_herbarium,loansin_herbarium.taxonomy,Loan In Information,"",Taxonomy,taxonomyList,taxonomy,string,n,y,n,authority: taxon/local; authority: taxon/common,"",not in core_7-1-0
herbarium_2-0-2 ns2:loansin_herbarium objKind,herbarium_2-0-2,loanin,ns2:loansin_herbarium,ns2:loansin_herbarium,loansin_herbarium.objKind,Loan In Information,"",Object kind,objKindList,objKind,string,n,y,n,vocabulary: objectkind,"",not in core_7-1-0
herbarium_2-0-2 ns2:loansin_herbarium dueDate,herbarium_2-0-2,loanin,ns2:loansin_herbarium,ns2:loansin_herbarium,loansin_herbarium.dueDate,Loan In Information,"",Due date,"",dueDate,date,n,n,n/a,"","",not in core_7-1-0
herbarium_2-0-2 ns2:loansin_herbarium shipDate,herbarium_2-0-2,loanin,ns2:loansin_herbarium,ns2:loansin_herbarium,loansin_herbarium.shipDate,Loan In Information,"",Loan shipped date,"",shipDate,date,n,n,n/a,"","",not in core_7-1-0
herbarium_2-0-2 ns2:loansin_herbarium transferInDate,herbarium_2-0-2,loanin,ns2:loansin_herbarium,ns2:loansin_herbarium,loansin_herbarium.transferInDate,Loan In Information,Transfer in,Transfer in date,"",transferInDate,date,n,n,n/a,"","",not in core_7-1-0
herbarium_2-0-2 ns2:loansin_herbarium transferInOrg,herbarium_2-0-2,loanin,ns2:loansin_herbarium,ns2:loansin_herbarium,loansin_herbarium.transferInOrg,Loan In Information,Transfer in,Transfer in from,"",transferInOrg,string,n,n,n/a,authority: organization/local,"",not in core_7-1-0
herbarium_2-0-2 ns2:loansin_herbarium transferInPerson,herbarium_2-0-2,loanin,ns2:loansin_herbarium,ns2:loansin_herbarium,loansin_herbarium.transferInPerson,Loan In Information,Transfer in,Transfer in previous borrower,"",transferInPerson,string,n,n,n/a,authority: person/local,"",not in core_7-1-0
herbarium_2-0-2 ns2:loansin_naturalhistory_extension returnDate,herbarium_2-0-2,loanin,ns2:loansin_naturalhistory_extension,ns2:loansin_naturalhistory_extension,loansin_naturalhistory_extension.returnDate,Items Returned,Item returned,Item returned date,returnGroupList > returnGroup,returnDate,date,n,n,y,"","",not in core_7-1-0
herbarium_2-0-2 ns2:loansin_naturalhistory_extension returnQuantity,herbarium_2-0-2,loanin,ns2:loansin_naturalhistory_extension,ns2:loansin_naturalhistory_extension,loansin_naturalhistory_extension.returnQuantity,Items Returned,Item returned,Item returned quantity,returnGroupList > returnGroup,returnQuantity,integer,n,n,y,"","",not in core_7-1-0
herbarium_2-0-2 ns2:loansin_naturalhistory_extension returnNotes,herbarium_2-0-2,loanin,ns2:loansin_naturalhistory_extension,ns2:loansin_naturalhistory_extension,loansin_naturalhistory_extension.returnNotes,Items Returned,Item returned,Item returned note,returnGroupList > returnGroup,returnNotes,string,n,n,y,"","",not in core_7-1-0
herbarium_2-0-2 ns2:loansin_naturalhistory_extension transferOutDate,herbarium_2-0-2,loanin,ns2:loansin_naturalhistory_extension,ns2:loansin_naturalhistory_extension,loansin_naturalhistory_extension.transferOutDate,Items Transferred Out,Item transferred out,Item transferred out date,transferOutGroupList > transferOutGroup,transferOutDate,date,n,n,y,"","",not in core_7-1-0
herbarium_2-0-2 ns2:loansin_naturalhistory_extension transferOutQuantity,herbarium_2-0-2,loanin,ns2:loansin_naturalhistory_extension,ns2:loansin_naturalhistory_extension,loansin_naturalhistory_extension.transferOutQuantity,Items Transferred Out,Item transferred out,Item transferred out quantity,transferOutGroupList > transferOutGroup,transferOutQuantity,integer,n,n,y,"","",not in core_7-1-0
herbarium_2-0-2 ns2:loansin_naturalhistory_extension transferOutOrg,herbarium_2-0-2,loanin,ns2:loansin_naturalhistory_extension,ns2:loansin_naturalhistory_extension,loansin_naturalhistory_extension.transferOutOrg,Items Transferred Out,Item transferred out,Item transferred out institution,transferOutGroupList > transferOutGroup,transferOutOrg,string,n,n,y,authority: organization/local,"",not in core_7-1-0
herbarium_2-0-2 ns2:loansin_naturalhistory_extension transferOutPerson,herbarium_2-0-2,loanin,ns2:loansin_naturalhistory_extension,ns2:loansin_naturalhistory_extension,loansin_naturalhistory_extension.transferOutPerson,Items Transferred Out,Item transferred out,Item transferred out for study by,transferOutGroupList > transferOutGroup,transferOutPerson,string,n,n,y,authority: person/local,"",not in core_7-1-0
herbarium_2-0-2 ns2:loansin_naturalhistory_extension transferOutDirector,herbarium_2-0-2,loanin,ns2:loansin_naturalhistory_extension,ns2:loansin_naturalhistory_extension,loansin_naturalhistory_extension.transferOutDirector,Items Transferred Out,Item transferred out,Item transferred out under direction of,transferOutGroupList > transferOutGroup,transferOutDirector,string,n,n,y,authority: person/local,"",not in core_7-1-0
