fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values,diff info
fcart_5-0-3 ns2:collectionobjects_common aspectRatio,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.aspectRatio,Technical Specifications: Audio/Video/Still,Aspect ratio,Aspect ratio width:height,aspectRatioGroupList > aspectRatioGroup,aspectRatio,string,n,n,y,vocabulary: aspectratios,"",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common aspectRatioType,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.aspectRatioType,Technical Specifications: Audio/Video/Still,Aspect ratio,Aspect ratio type,aspectRatioGroupList > aspectRatioGroup,aspectRatioType,string,n,n,y,vocabulary: aspectratiotypes,"",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common colorSpace,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.colorSpace,Technical Specifications: Audio/Video/Still,Color space,Color space name,colorSpaceGroupList > colorSpaceGroup,colorSpace,string,n,n,y,vocabulary: colorspaces,"",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common colorType,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.colorType,Technical Specifications: Audio/Video/Still,Color space,Color space type,colorSpaceGroupList > colorSpaceGroup,colorType,string,n,n,y,vocabulary: colortypes,"",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common avTechnicalAttribute,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.avTechnicalAttribute,Technical Specifications: Audio/Video/Still,AV technical attribute,AV technical attribute,avTechnicalAttributeGroupList > avTechnicalAttributeGroup,avTechnicalAttribute,string,n,n,y,vocabulary: avattributes,"",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common avTechnicalAttributeLowValue,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.avTechnicalAttributeLowValue,Technical Specifications: Audio/Video/Still,AV technical attribute,AV technical attribute low/single value,avTechnicalAttributeGroupList > avTechnicalAttributeGroup,avTechnicalAttributeLowValue,integer,n,n,y,"","",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common avTechnicalAttributeHighValue,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.avTechnicalAttributeHighValue,Technical Specifications: Audio/Video/Still,AV technical attribute,AV technical attribute high value,avTechnicalAttributeGroupList > avTechnicalAttributeGroup,avTechnicalAttributeHighValue,integer,n,n,y,"","",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common avTechnicalAttributeUnit,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.avTechnicalAttributeUnit,Technical Specifications: Audio/Video/Still,AV technical attribute,AV technical attribute unit,avTechnicalAttributeGroupList > avTechnicalAttributeGroup,avTechnicalAttributeUnit,string,n,n,y,vocabulary: avattributeunits,"",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common avSpecificationNote,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.avSpecificationNote,Technical Specifications: Audio/Video/Still,"",Audio or video specification note,"",avSpecificationNote,string,n,n,n/a,"","",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common programmingLanguageName,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.programmingLanguageName,Technical Specifications: Software/Web,Programming language,Programming language name,programmingLanguageGroupList > programmingLanguageGroup,programmingLanguageName,string,n,n,y,vocabulary: programminglanguage,"",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common programmingLanguageVersion,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.programmingLanguageVersion,Technical Specifications: Software/Web,Programming language,Programming language version,programmingLanguageGroupList > programmingLanguageGroup,programmingLanguageVersion,string,n,n,y,"","",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common software,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.software,Technical Specifications: Software/Web,Utilized software > Technical Specifications: Software/Web,Utilized software name,utilizedSoftwareGroupList > utilizedSoftwareGroup,software,string,n,n,y,vocabulary: utilizedsoftware,"",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common softwareVersion,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.softwareVersion,Technical Specifications: Software/Web,Utilized software,Utilized software version,utilizedSoftwareGroupList > utilizedSoftwareGroup,softwareVersion,string,n,n,y,"","",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common intendedOperatingSystem,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.intendedOperatingSystem,Technical Specifications: Software/Web,Intended operating system,Intended operating system name,intendedOperatingSystemGroupList > intendedOperatingSystemGroup,intendedOperatingSystem,string,n,n,y,vocabulary: operatingsystems,"",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common intendedOperatingSystemVersion,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.intendedOperatingSystemVersion,Technical Specifications: Software/Web,Intended operating system,Intended operating system version,intendedOperatingSystemGroupList > intendedOperatingSystemGroup,intendedOperatingSystemVersion,string,n,n,y,"","",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common softwareLibrary,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.softwareLibrary,Technical Specifications: Software/Web,"",Library,softwareLibraries,softwareLibrary,string,n,y,n,vocabulary: softwarelibraries,"",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common codeCompiler,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.codeCompiler,Technical Specifications: Software/Web,"",Compiler,codeCompilers,codeCompiler,string,n,y,n,vocabulary: compilers,"",not in fcart_4-0-0
