profile,record_type,field,record_section,path_to_field,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values,record_type_machine_name,field_machine_name
core_9-0-0,Chronology,Associated organization,Associated Authorities,"",string,n,n,y,authority,organization/local; organization/ulan,"",chronology,assocOrganization
core_9-0-0,Chronology,Associated organization relationship/type,Associated Authorities,"",string,n,n,y,vocabulary,assocauthorityrelationtype,"",chronology,assocOrganizationType
core_9-0-0,Chronology,Associated organization date,Associated Authorities,"",structured date group,n,n,y,"","","",chronology,assocOrganizationStructuredDateGroup
core_9-0-0,Chronology,Associated organization citation,Associated Authorities,"",string,n,y,as part of larger repeating group,authority,citation/local; citation/worldcat,"",chronology,assocOrganizationCitation
core_9-0-0,Chronology,Associated organization note,Associated Authorities,"",string,n,n,y,"","","",chronology,assocOrganizationNote
core_9-0-0,Chronology,Associated concept,Associated Authorities,"",string,n,n,y,authority,concept/activity; concept/associated; concept/material; concept/nomenclature; concept/occasion,"",chronology,assocConcept
core_9-0-0,Chronology,Associated concept relationship/type,Associated Authorities,"",string,n,n,y,vocabulary,assocauthorityrelationtype,"",chronology,assocConceptType
core_9-0-0,Chronology,Associated concept date,Associated Authorities,"",structured date group,n,n,y,"","","",chronology,assocConceptStructuredDateGroup
core_9-0-0,Chronology,Associated concept citation,Associated Authorities,"",string,n,y,as part of larger repeating group,authority,citation/local; citation/worldcat,"",chronology,assocConceptCitation
core_9-0-0,Chronology,Associated concept note,Associated Authorities,"",string,n,n,y,"","","",chronology,assocConceptNote
core_9-0-0,Chronology,Associated place,Associated Authorities,"",string,n,n,y,authority,place/local; place/tgn,"",chronology,assocPlace
core_9-0-0,Chronology,Associated place relationship/type,Associated Authorities,"",string,n,n,y,vocabulary,assocauthorityrelationtype,"",chronology,assocPlaceType
core_9-0-0,Chronology,Associated place date,Associated Authorities,"",structured date group,n,n,y,"","","",chronology,assocPlaceStructuredDateGroup
core_9-0-0,Chronology,Associated place citation,Associated Authorities,"",string,n,y,as part of larger repeating group,authority,citation/local; citation/worldcat,"",chronology,assocPlaceCitation
core_9-0-0,Chronology,Associated place note,Associated Authorities,"",string,n,n,y,"","","",chronology,assocPlaceNote
core_9-0-0,Chronology,Associated event/era,Associated Authorities,"",string,n,n,y,authority,chronology/era; chronology/event,"",chronology,assocChronology
core_9-0-0,Chronology,Associated event/era relationship/type,Associated Authorities,"",string,n,n,y,vocabulary,assocauthorityrelationtype,"",chronology,assocChronologyType
core_9-0-0,Chronology,Associated event/era date,Associated Authorities,"",structured date group,n,n,y,"","","",chronology,assocChronologyStructuredDateGroup
core_9-0-0,Chronology,Associated event/era citation,Associated Authorities,"",string,n,y,as part of larger repeating group,authority,citation/local; citation/worldcat,"",chronology,assocChronologyCitation
core_9-0-0,Chronology,Associated event/era note,Associated Authorities,"",string,n,n,y,"","","",chronology,assocChronologyNote
core_9-0-0,Object,Identification number,Object Identification Information,"",string,y,n,n/a,"","","",collectionobject,objectNumber
core_9-0-0,Object,Other number value,Object Identification Information,"",string,n,n,y,"","","",collectionobject,numberValue
core_9-0-0,Object,Other number type,Object Identification Information,"",string,n,n,y,option list,numberTypes,"associated uuid, barcode, lender, obsolete, previous, serial, unknown",collectionobject,numberType
