fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values,dumbfieldname,new?
core citation ns2:citations_common type,core,citation,ns2:citations_common,ns2:citations_common,citations_common.type,Citation Information,"",Resource identifier type,citationResourceIdentGroupList > citationResourceIdentGroup,type,string,n,n,y,vocabulary,resourceidtype,"",citation type,""
core citation ns2:citations_common captureDate,core,citation,ns2:citations_common,ns2:citations_common,citations_common.captureDate,Citation Information,"",Resource identifier capture date,citationResourceIdentGroupList > citationResourceIdentGroup,captureDate,structured date group,n,n,y,"","","",citation captureDate,""
core citation ns2:citations_common relatedTerm,core,citation,ns2:citations_common,ns2:citations_common,citations_common.relatedTerm,Citation Information,"",Related term,citationRelatedTermsGroupList > citationRelatedTermsGroup,relatedTerm,string,n,n,y,authority,concept/associated; concept/activity; concept/material,"",citation relatedTerm,""
core citation ns2:citations_common relationType,core,citation,ns2:citations_common,ns2:citations_common,citations_common.relationType,Citation Information,"",Related term type,citationRelatedTermsGroupList > citationRelatedTermsGroup,relationType,string,n,n,y,vocabulary,relationtypetype,"",citation relationType,""
core chronology ns2:chronologies_common termDisplayName,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termDisplayName,Chronology Information,"",Term display name,chronologyTermGroupList > chronologyTermGroup,termDisplayName,string,y,n,y,"","","",chronology termDisplayName,""
core chronology ns2:chronologies_common termName,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termName,Chronology Information,"",Term name,chronologyTermGroupList > chronologyTermGroup,termName,string,n,n,y,"","","",chronology termName,""
core chronology ns2:chronologies_common termQualifier,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termQualifier,Chronology Information,"",Term qualifier,chronologyTermGroupList > chronologyTermGroup,termQualifier,string,n,n,y,"","","",chronology termQualifier,""
core chronology ns2:chronologies_common termStatus,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termStatus,Chronology Information,"",Term status,chronologyTermGroupList > chronologyTermGroup,termStatus,string,n,n,y,vocabulary,chronologytermstatus,"",chronology termStatus,""
core chronology ns2:chronologies_common termType,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termType,Chronology Information,"",Term type,chronologyTermGroupList > chronologyTermGroup,termType,string,n,n,y,vocabulary,chronologytermtype,"",chronology termType,""
core chronology ns2:chronologies_common termFlag,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termFlag,Chronology Information,"",Term flag,chronologyTermGroupList > chronologyTermGroup,termFlag,string,n,n,y,vocabulary,chronologytermflag,"",chronology termFlag,""
core chronology ns2:chronologies_common historicalStatus,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.historicalStatus,Chronology Information,"",Term historical status,chronologyTermGroupList > chronologyTermGroup,historicalStatus,string,n,n,y,vocabulary,chronologyhistoricalstatus,"",chronology historicalStatus,""
core chronology ns2:chronologies_common termLanguage,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termLanguage,Chronology Information,"",Term language,chronologyTermGroupList > chronologyTermGroup,termLanguage,string,n,n,y,vocabulary,languages,"",chronology termLanguage,""
core chronology ns2:chronologies_common termPrefForLang,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termPrefForLang,Chronology Information,"",Term preferred for lang,chronologyTermGroupList > chronologyTermGroup,termPrefForLang,boolean,n,n,y,"","","",chronology termPrefForLang,""
core chronology ns2:chronologies_common termSource,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termSource,Chronology Information,"",Term source name,chronologyTermGroupList > chronologyTermGroup,termSource,string,n,n,y,authority,citation/local; citation/worldcat,"",chronology termSource,""
core chronology ns2:chronologies_common termSourceDetail,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termSourceDetail,Chronology Information,"",Term source detail,chronologyTermGroupList > chronologyTermGroup,termSourceDetail,string,n,n,y,"","","",chronology termSourceDetail,""
core chronology ns2:chronologies_common termSourceID,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termSourceID,Chronology Information,"",Term source ID,chronologyTermGroupList > chronologyTermGroup,termSourceID,string,n,n,y,"","","",chronology termSourceID,""
core chronology ns2:chronologies_common termSourceNote,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termSourceNote,Chronology Information,"",Term source note,chronologyTermGroupList > chronologyTermGroup,termSourceNote,string,n,n,y,"","","",chronology termSourceNote,""
core chronology ns2:chronologies_common primaryDateRangeStructuredDateGroup,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.primaryDateRangeStructuredDateGroup,Chronology Information,"",Primary date range,"",primaryDateRangeStructuredDateGroup,structured date group,n,n,n/a,"","","",chronology primaryDateRangeStructuredDateGroup,""
core chronology ns2:chronologies_common chronologyType,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.chronologyType,Chronology Information,"",Chronology type,"",chronologyType,string,n,n,n/a,vocabulary,chronologytypes,"",chronology chronologyType,""
core chronology ns2:chronologies_common spatialCoverage,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.spatialCoverage,Chronology Information,"",Spatial coverage,spatialCoverages,spatialCoverage,string,n,y,n,authority,place/local; place/tgn,"",chronology spatialCoverage,""
core chronology ns2:chronologies_common chronologyDescription,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.chronologyDescription,Chronology Information,"",Chronology description,"",chronologyDescription,string,n,n,n/a,"","","",chronology chronologyDescription,""
core chronology ns2:chronologies_common chronologyNote,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.chronologyNote,Chronology Information,"",Chronology note,"",chronologyNote,string,n,n,n/a,"","","",chronology chronologyNote,""
core chronology ns2:chronologies_common identifierValue,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.identifierValue,Chronology Information,"",Resource identifier value,identifierGroupList > identifierGroup,identifierValue,string,n,n,y,"","","",chronology identifierValue,""
core chronology ns2:chronologies_common identifierCitation,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.identifierCitation,Chronology Information,"",Resource identifier citation,identifierGroupList > identifierGroup,identifierCitation,string,n,n,y,authority,citation/local; citation/worldcat,"",chronology identifierCitation,""
core chronology ns2:chronologies_common identifierDate,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.identifierDate,Chronology Information,"",Resource identifier date,identifierGroupList > identifierGroup,identifierDate,date,n,n,y,"","","",chronology identifierDate,""
core chronology ns2:chronologies_common altDateRangeStructuredDateGroup,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.altDateRangeStructuredDateGroup,Alternative Date Information,"",Alternative date range,altDateGroupList > altDateGroup,altDateRangeStructuredDateGroup,structured date group,n,n,y,"","","",chronology altDateRangeStructuredDateGroup,""
core chronology ns2:chronologies_common altDateSpatialCoverage,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.altDateSpatialCoverage,Alternative Date Information,"",Alternative date spatial coverage,altDateGroupList > altDateGroup > altDateSpatialCoverages,altDateSpatialCoverage,string,n,y,as part of larger repeating group,authority,place/local; place/tgn,"",chronology altDateSpatialCoverage,""
core chronology ns2:chronologies_common altDateCitation,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.altDateCitation,Alternative Date Information,"",Alternative date citation,altDateGroupList > altDateGroup > altDateCitations,altDateCitation,string,n,y,as part of larger repeating group,authority,citation/local; citation/worldcat,"",chronology altDateCitation,""
core chronology ns2:chronologies_common altDateNote,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.altDateNote,Alternative Date Information,"",Alternative date note,altDateGroupList > altDateGroup,altDateNote,string,n,n,y,"","","",chronology altDateNote,""
core chronology ext.associatedAuthority assocPerson,core,chronology,ns2:chronologies_common,ext.associatedAuthority,ext.associatedAuthority.assocPerson,Associated Authorities,"",Associated person,assocPersonAuthGroupList > assocPersonAuthGroup,assocPerson,string,n,n,y,authority,person/local; person/ulan,"",chronology assocPerson,""
core chronology ext.associatedAuthority assocPersonType,core,chronology,ns2:chronologies_common,ext.associatedAuthority,ext.associatedAuthority.assocPersonType,Associated Authorities,"",Associated person relationship/type,assocPersonAuthGroupList > assocPersonAuthGroup,assocPersonType,string,n,n,y,vocabulary,assocauthorityrelationtype,"",chronology assocPersonType,""
