profile,record_type,record_type_machine_name,record_section,path_to_field,field,field_machine_name,qualified_field_machine_name,importer_template_headers,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values
materials_4-0-1,Concept,concept,Concept Information,"",Term language,termLanguage,ns2:concepts_common.termLanguage,termLanguage; termLanguageRefname,string,n,n,y,vocabulary; refname,languages; vocabulary refname,""
materials_4-0-1,Concept,concept,Concept Information,"",Term preferred for lang,termPrefForLang,ns2:concepts_common.termPrefForLang,termPrefForLang,boolean,n,n,y,"","",""
materials_4-0-1,Concept,concept,Concept Information,Source,Term source name,termSource,ns2:concepts_common.termSource,termSourceCitationLocal; termSourceCitationShared; termSourceRefname,string,n,n,y,authority; refname,citation/local; citation/shared; authority refname,""
materials_4-0-1,Concept,concept,Concept Information,Source,Term source detail,termSourceDetail,ns2:concepts_common.termSourceDetail,termSourceDetail,string,n,n,y,"","",""
materials_4-0-1,Concept,concept,Concept Information,Source,Term source ID,termSourceID,ns2:concepts_common.termSourceID,termSourceID,string,n,n,y,"","",""
materials_4-0-1,Concept,concept,Concept Information,Source,Term source note,termSourceNote,ns2:concepts_common.termSourceNote,termSourceNote,string,n,n,y,"","",""
materials_4-0-1,Concept,concept,Concept Information,"",Concept type,conceptRecordType,ns2:concepts_common.conceptRecordType,conceptRecordType; conceptRecordTypeRefname,string,n,y,n,vocabulary; refname,concepttype; vocabulary refname,""
materials_4-0-1,Concept,concept,Concept Information,"",Scope note,scopeNote,ns2:concepts_common.scopeNote,scopeNote,string,n,n,n/a,"","",""
materials_4-0-1,Concept,concept,Concept Information,Scope note,Scope note source,scopeNoteSource,ns2:concepts_common.scopeNoteSource,scopeNoteSource,string,n,n,n/a,"","",""
materials_4-0-1,Concept,concept,Concept Information,Scope note,Scope note source detail,scopeNoteSourceDetail,ns2:concepts_common.scopeNoteSourceDetail,scopeNoteSourceDetail,string,n,n,n/a,"","",""
materials_4-0-1,Concept,concept,Concept Information,"",Citation source,citationSource,ns2:concepts_common.citationSource,citationSource,string,n,n,y,"","",""
materials_4-0-1,Concept,concept,Concept Information,"",Citation source detail,citationSourceDetail,ns2:concepts_common.citationSourceDetail,citationSourceDetail,string,n,n,y,"","",""
materials_4-0-1,Concept,concept,Concept Information,"",Additional source,additionalSource,ns2:concepts_common.additionalSource,additionalSource,string,n,n,y,"","",""
materials_4-0-1,Concept,concept,Concept Information,"",Additional source detail,additionalSourceDetail,ns2:concepts_common.additionalSourceDetail,additionalSourceDetail,string,n,n,y,"","",""
materials_4-0-1,Concept,concept,Concept Information,"",Additional source ID,additionalSourceID,ns2:concepts_common.additionalSourceID,additionalSourceID,string,n,n,y,"","",""
materials_4-0-1,Concept,concept,Concept Information,"",Additional source note,additionalSourceNote,ns2:concepts_common.additionalSourceNote,additionalSourceNote,string,n,n,y,"","",""
materials_4-0-1,Deaccession,deaccession,Deaccession Information,"",Deaccession number,deaccessionNumber,ns2:deaccessions_common.deaccessionNumber,deaccessionNumber,string,y,n,n/a,"","",""
materials_4-0-1,Deaccession,deaccession,Deaccession Information,"",Deaccession reason,deaccessionReason,ns2:deaccessions_common.deaccessionReason,deaccessionReason; deaccessionReasonRefname,string,n,y,n,vocabulary; refname,deaccessionreason; vocabulary refname,""
materials_4-0-1,Deaccession,deaccession,Deaccession Information,"",Deaccession date,deaccessionDate,ns2:deaccessions_common.deaccessionDate,deaccessionDate,date,n,n,n/a,"","",""
materials_4-0-1,Deaccession,deaccession,Deaccession Information,"",Deaccession rationale,deaccessionRationale,ns2:deaccessions_common.deaccessionRationale,deaccessionRationale,string,n,n,n/a,"","",""
materials_4-0-1,Deaccession,deaccession,Deaccession Information,"",Deaccession note,deaccessionNote,ns2:deaccessions_common.deaccessionNote,deaccessionNote,string,n,n,n/a,"","",""
materials_4-0-1,Deaccession,deaccession,Deaccession Information,"",Deaccession approval,deaccessionApprovalGroup,ns2:deaccessions_common.deaccessionApprovalGroup,deaccessionApprovalGroup; deaccessionApprovalGroupRefname,string,n,n,y,vocabulary; refname,deaccessionapprovalgroup; vocabulary refname,""
materials_4-0-1,Deaccession,deaccession,Deaccession Information,"",Deaccession approval individual,deaccessionApprovalIndividual,ns2:deaccessions_common.deaccessionApprovalIndividual,deaccessionApprovalIndividualPersonLocal; deaccessionApprovalIndividualRefname,string,n,n,y,authority; refname,person/local; authority refname,""
materials_4-0-1,Deaccession,deaccession,Deaccession Information,"",Deaccession approval status,deaccessionApprovalStatus,ns2:deaccessions_common.deaccessionApprovalStatus,deaccessionApprovalStatus; deaccessionApprovalStatusRefname,string,n,n,y,vocabulary; refname,deaccessionapprovalstatus; vocabulary refname,""
materials_4-0-1,Deaccession,deaccession,Deaccession Information,"",Deaccession approval date,deaccessionApprovalDate,ns2:deaccessions_common.deaccessionApprovalDate,deaccessionApprovalDate,date,n,n,y,"","",""
